(41.87846109, -87.75600042)
(41.88350019, -87.6278767)
(41.8546001, -87.7053327)
(41.93818286, -87.64433929)
(41.75138353, -87.55288975)
(41.8561895, -87.65151536)
(41.89789513, -87.62409661)
(41.89798294, -87.62409563)
(41.88036208, -87.75584744)
(41.88690556, -87.65889738)
(41.77287871, -87.69200917)
(41.88218344, -87.65204696)
(41.91420451, -87.64353545)
(41.76501231, -87.604368)
(41.75459296, -87.74152854)
(41.75132591, -87.55289045)
(41.9161022, -87.73953173)
(41.83207129, -87.61697868)
(41.97731845, -87.65501313)
(41.88174963, -87.62435597)
(41.73365047, -87.55784532)
(41.9769831, -87.81801411)
(41.87922585, -87.64663642)
(41.89941016, -87.62413127)
(41.75320415, -87.73040747)
(41.68094405, -87.5371181)
(41.80178091, -87.70379485)
(41.98733477, -87.69078811)
(41.88350019, -87.6278767)
(41.86723615, -87.64113656)
(41.96203976, -87.64687669)
(41.90961488, -87.74701658)
(41.89605818, -87.65480487)
(41.8850974, -87.71911035)
(41.73549165, -87.64116808)
(41.91924425, -87.7054672)
(41.9496044, -87.7607407)
(41.77531394, -87.76242924)
(41.66981375, -87.62841753)
(41.89275303, -87.6241939)
(41.88171846, -87.62776043)
(41.86449368, -87.639158)
(41.74064914, -87.63768673)
(41.8807511, -87.72385598)
(41.78083528, -87.66425207)
(41.82467571, -87.61701343)
(41.84008528, -87.70979033)
(41.90940839, -87.67594932)
(41.72184385, -87.58507194)
(41.94571284, -87.68337665)
(41.88367394, -87.62623327)
(41.86221827, -87.63908716)
(41.89789513, -87.62409661)
(41.85457668, -87.70106398)
(41.86337575, -87.65645745)
(41.95756812, -87.77692708)
(41.76068106, -87.64793843)
(41.78691235, -87.62064606)
(41.70664242, -87.66558954)
(41.86712781, -87.72112174)
(41.89516487, -87.73711424)
(41.93257574, -87.6576153)
(41.86725154, -87.63959443)
(41.80096575, -87.59286627)
(41.80706791, -87.60384375)
(41.78350241, -87.60725318)
(41.83756652, -87.6472948)
(41.73649154, -87.61538551)
(41.70691171, -87.64334978)
(41.7638043, -87.67472163)
(41.79780342, -87.64799411)
(41.96374928, -87.72211696)
(41.76864597, -87.72616461)
(41.88185437, -87.72438898)
(41.86538193, -87.70929494)
(41.73926587, -87.60489375)
(41.86844745, -87.64222859)
(41.86554671, -87.71950311)
(41.9392116, -87.71769818)
(41.6772281, -87.61498301)
(41.93012729, -87.63639621)
(41.93657412, -87.64058573)
(41.793031, -87.66332582)
(41.72383897, -87.59482946)
(41.75114716, -87.61335688)
(41.7678792, -87.6833273)
(41.83232928, -87.61698315)
(41.88238916, -87.62437461)
(41.89768148, -87.75321576)
(41.79568432, -87.63424611)
(41.96881582, -87.67461815)
(41.79392247, -87.77403576)
(41.80169033, -87.70379207)
(41.87946645, -87.74805972)
(41.79581529, -87.62249475)
(41.67535378, -87.62739439)
(41.88484586, -87.62447231)
(41.86581224, -87.71784116)
(41.87863072, -87.6366733)
(41.65120654, -87.54230338)
(41.91011672, -87.67744465)
(41.77099032, -87.57276298)
(41.90294087, -87.69503287)
(41.76127191, -87.5578537)
(41.85176126, -87.70560272)
(41.76008845, -87.68678895)
(41.88756866, -87.62455606)
(41.88253954, -87.62785054)
(41.88681656, -87.63167795)
(41.94665304, -87.70087546)
(41.88828953, -87.6239715)
(41.73682362, -87.66308964)
(41.88449819, -87.62594509)
(41.8670732, -87.72582526)
(41.88350019, -87.6278767)
(41.9281043, -87.72774912)
(41.96877739, -87.72070834)
(42.01873789, -87.673139)
(41.93288166, -87.64079474)
(41.85247753, -87.7162402)
(41.93596957, -87.67495994)
(41.89408396, -87.74408811)
(41.706388, -87.63796098)
(41.92445285, -87.72952543)
(41.87967428, -87.70381671)
(41.93275949, -87.64695554)
(41.88350019, -87.6278767)
(41.85102174, -87.61895485)
(41.92245089, -87.63220629)
(41.89169488, -87.62615583)
(41.89446573, -87.62424106)
(41.89221331, -87.68033101)
(41.88644209, -87.70491077)
(41.8926701, -87.62810635)
(41.89166018, -87.62854717)
(41.73144626, -87.55128834)
(41.76313256, -87.62902082)
(41.80927078, -87.70643587)
(41.91699422, -87.7562448)
(41.89989005, -87.71524029)
(41.96906512, -87.6566157)
(41.7758702, -87.74218718)
(41.76908018, -87.56984929)
(41.78040856, -87.69586453)
(41.74627759, -87.66211918)
(41.88994653, -87.63688824)
(41.74781681, -87.73613793)
(41.8978375, -87.62409724)
(41.96542634, -87.65522754)
(41.8021017, -87.58774785)
(41.88350019, -87.6278767)
(41.92653767, -87.7648496)
(41.8924816, -87.62735183)
(41.89275303, -87.6241939)
(41.92298515, -87.79705556)
(41.75084952, -87.5735285)
(41.78337025, -87.60113152)
(41.89253363, -87.71744879)
(41.88590199, -87.63245549)
(41.78219089, -87.69956837)
(41.89301485, -87.75347836)
(41.91744065, -87.63547609)
(41.91091418, -87.64857834)
(41.96581686, -87.8366841)
(41.88485984, -87.68004233)
(41.96359938, -87.65534251)
(41.90950808, -87.7551807)
(41.86140413, -87.73481787)
