(41.92266924, -87.76837475)
(41.89941016, -87.62413127)
(41.97293973, -87.67930849)
(41.89943389, -87.75570869)
(41.90806029, -87.76586586)
(41.76070814, -87.57535847)
(41.92488075, -87.68958151)
(41.92367262, -87.78630161)
(41.79617774, -87.59170751)
(41.89980524, -87.67960718)
(41.74576831, -87.6068137)
(41.86709802, -87.72377641)
(41.87267863, -87.71431657)
(41.86393524, -87.72144956)
(41.90966425, -87.74272882)
(41.94955828, -87.6471981)
(41.87856058, -87.74800556)
(41.92747995, -87.69506391)
(41.71031571, -87.61749707)
(41.88588808, -87.62794224)
(41.7521406, -87.71770426)
(41.97368655, -87.90313011)
(41.89864817, -87.74902695)
(41.79346834, -87.70678424)
(41.74743729, -87.70964327)
(41.87644105, -87.74513145)
(41.92509219, -87.68765018)
(41.88626134, -87.66700557)
(41.86693385, -87.66045839)
(41.91427108, -87.70384793)
(41.92851289, -87.69181606)
(41.91807909, -87.73025424)
(41.79875044, -87.69027697)
(41.96640935, -87.64885216)
(41.91307493, -87.71502124)
(41.69212213, -87.66134608)
(41.90979863, -87.65203628)
(41.75286413, -87.58444057)
(41.95977471, -87.75042852)
(41.7834523, -87.64092016)
(41.95825299, -87.74745332)
(41.77611683, -87.64411896)
(41.73709816, -87.65701931)
(41.89360698, -87.71802614)
(41.80672014, -87.67148733)
(41.90948461, -87.75706189)
(41.89943762, -87.7624894)
(41.8501327, -87.69148034)
(41.67551623, -87.6225828)
(41.69166738, -87.62403433)
(41.78020712, -87.6174059)
(41.99197095, -87.78177749)
(41.9072722, -87.72919141)
(41.9741522, -87.84398538)
(41.88360375, -87.75762869)
(41.80129232, -87.6677509)
(41.77321394, -87.59817128)
(41.77325646, -87.59410522)
(41.80605278, -87.66854891)
(41.73625306, -87.69051242)
(41.83410928, -87.72793512)
(41.74713136, -87.60754588)
(41.79710544, -87.64279759)
(41.81414816, -87.62134198)
(41.87277012, -87.73520752)
(41.92126192, -87.75360483)
(41.70220921, -87.66965989)
(41.7375811, -87.60363407)
(41.67749962, -87.65655282)
(41.77273375, -87.62482459)
(41.81305178, -87.66873698)
(41.90961488, -87.74701658)
(41.80429137, -87.64669261)
(41.97388512, -87.65774883)
(41.98136054, -87.69224211)
(41.8602648, -87.71402517)
(41.85428775, -87.6808087)
(41.77583464, -87.61551514)
(41.96543942, -87.65419049)
(41.77723372, -87.66171949)
(41.78577498, -87.61165691)
(41.95263143, -87.70064726)
(41.8843059, -87.66015495)
(41.88210577, -87.68460189)
(41.72396947, -87.66031101)
(41.87492454, -87.63960692)
(41.69146897, -87.63510474)
(41.93312368, -87.71186549)
(41.94699497, -87.71784018)
(41.73625998, -87.62806878)
(41.78200761, -87.69225553)
(41.78731659, -87.74484681)
(41.76401266, -87.67229663)
(41.89087561, -87.62725199)
(41.72126114, -87.61899466)
(41.65561653, -87.61412542)
(41.88258231, -87.66058801)
(41.89320194, -87.67516794)
(41.99255575, -87.72016769)
(41.72139479, -87.64861249)
(41.83925773, -87.62348207)
(41.96195763, -87.7201192)
(41.77688373, -87.71882051)
(41.87801163, -87.67166288)
(41.90657814, -87.76581286)
(41.77047422, -87.65699144)
(41.90601718, -87.674151)
(41.93258794, -87.65689117)
